Name.Mapping.File	Target	Incubation	Replicate	Timepoint	Substrate	NucleicAcid	Year	totReads	totASVs
DNA-d0-9A	Bacteria	9	A	0	DIC	DNA	2021	24062	2751
DNA-d0-9B	Bacteria	9	B	0	DIC	DNA	2021	19640	2463
DNA-d20-7A	Bacteria	7	A	20	birnessite.acetate	DNA	2021	30876	2816
DNA-d20-7B	Bacteria	7	B	20	birnessite.acetate	DNA	2021	54673	3546
DNA-d20-7C	Bacteria	7	C	20	birnessite.acetate	DNA	2021	30433	2846
DNA-d20-8A	Bacteria	8	A	20	acetate	DNA	2021	37718	2733
DNA-d20-8B	Bacteria	8	B	20	acetate	DNA	2021	21606	2341
DNA-d20-8C	Bacteria	8	C	20	acetate	DNA	2021	32856	2811
DNA-d20-9A	Bacteria	9	A	20	DIC	DNA	2021	19392	2158
RNA-d0-9A	Bacteria	9	A	0	DIC	RNA	2021	15592	1963
RNA-d0-9B	Bacteria	9	B	0	DIC	RNA	2021	20077	2289
RNA-d6-7A	Bacteria	7	A	6	birnessite.acetate	RNA	2021	25847	2511
RNA-d6-7B	Bacteria	7	B	6	birnessite.acetate	RNA	2021	21146	1874
RNA-d6-7C	Bacteria	7	C	6	birnessite.acetate	RNA	2021	21927	1715
RNA-d6-8A	Bacteria	8	A	6	acetate	RNA	2021	11252	1695
RNA-d6-8B	Bacteria	8	B	6	acetate	RNA	2021	32022	2342
RNA-d6-8C	Bacteria	8	C	6	acetate	RNA	2021	23404	2145
RNA-d6-9A	Bacteria	9	A	6	DIC	RNA	2021	29162	2159
RNA-d6-9B	Bacteria	9	B	6	DIC	RNA	2021	21885	2024
RNA-d10-7A	Bacteria	7	A	10	birnessite.acetate	RNA	2021	14154	1401
RNA-d10-7B	Bacteria	7	B	10	birnessite.acetate	RNA	2021	23337	1857
RNA-d10-7C	Bacteria	7	C	10	birnessite.acetate	RNA	2021	22276	1735
RNA-d10-8A	Bacteria	8	A	10	acetate	RNA	2021	22328	1772
RNA-d10-8B	Bacteria	8	B	10	acetate	RNA	2021	13747	1698
RNA-d10-8C	Bacteria	8	C	10	acetate	RNA	2021	16945	1374
RNA-d10-9A	Bacteria	9	A	10	DIC	RNA	2021	19159	2111
RNA-d10-9B	Bacteria	9	B	10	DIC	RNA	2021	20436	2155
RNA-d20-7A	Bacteria	7	A	20	birnessite.acetate	RNA	2021	13761	1421
RNA-d20-7B	Bacteria	7	B	20	birnessite.acetate	RNA	2021	8636	1160
RNA-d20-7C	Bacteria	7	C	20	birnessite.acetate	RNA	2021	20031	1636
RNA-d20-8A	Bacteria	8	A	20	acetate	RNA	2021	15653	1297
RNA-d20-8B	Bacteria	8	B	20	acetate	RNA	2021	13272	1243
RNA-d20-8C	Bacteria	8	C	20	acetate	RNA	2021	15344	1292
RNA-d20-9A	Bacteria	9	A	20	DIC	RNA	2021	14496	1292
RNA.d0.10A.bac	Bacteria	10	A	0	birnessite	RNA	2023	137155	4420
RNA.d0.10B.bac	Bacteria	10	B	0	birnessite	RNA	2023	212466	5143
RNA.d0.10C.bac	Bacteria	10	C	0	birnessite	RNA	2023	73155	3914
RNA.d6.10A.bac	Bacteria	10	A	6	birnessite	RNA	2023	8698	943
RNA.d6.10B.bac	Bacteria	10	B	6	birnessite	RNA	2023	128763	3466
RNA.d6.10C.bac	Bacteria	10	C	6	birnessite	RNA	2023	203968	3555
RNA.d6.11.bac	Bacteria	11	C	6	DIC	RNA	2023	176718	4621
RNA.d10.10A.bac	Bacteria	10	A	10	birnessite	RNA	2023	244772	3759
RNA.d10.10B.bac	Bacteria	10	B	10	birnessite	RNA	2023	84379	2373
RNA.d10.10C.bac	Bacteria	10	C	10	birnessite	RNA	2023	118182	2939
RNA.d10.11.bac	Bacteria	11	C	10	DIC	RNA	2023	181747	4457
RNA.d20.10A.bac	Bacteria	10	A	20	birnessite	RNA	2023	141362	2781
RNA.d20.10B.bac	Bacteria	10	B	20	birnessite	RNA	2023	74075	1888
RNA.d20.10C.bac	Bacteria	10	C	20	birnessite	RNA	2023	164143	2631
RNA.d20.11.bac	Bacteria	11	C	20	DIC	RNA	2023	83024	3022
