Incubation	Treatment	Replicate	Day	Cl_mM	SO_mM	Al.uM	As.uM	Ba.uM	Ca.mM	Cu.uM	Fe.uM	K.mM	Li.uM	Mg.mM	Mn.uM	Mo.uM	P.uM	Si.uM	Sr.uM	Fe.fer.uM	Sulfide_uM	Sulfur.mmol.g.wet.sediment
1A	Lep.HS	A	0	861.95	1.38	5.456	0.231	3.806	8.569	0	4.686	9.746	3.333	52.206	2.321	0	39.457	297.341	17.941	1.24	643.34	35.5945515
1A	Lep.HS	A	10	1043.818	1.676	5.643	0.693	4.213	6.743	0	4.521	9.911	3.366	52.789	1.958	0.066	31.702	344.641	17.468	4.075	17.37	NA
1A	Lep.HS	A	20	1032.848	1.742	5.456	0.594	4.334	6.897	0	6.754	9.79	3.432	54.769	2.42	0.066	39.589	365.101	18.205	2.05	9.93	NA
1A	Lep.HS	A	30	1054.498	1.352	7.887	0.385	4.114	6.611	0	10.384	9.856	3.454	52.723	2.519	0.077	40.502	350.207	17.633	1.24	12.63	102.6179725
2A	Lep.S	A	0	886.46	1.404	10.802	0.396	5.027	10.307	0.044	7.447	9.79	3.96	53.218	7.568	0.11	44.539	255.937	19.646	1.645	6.55	54.24016486
2A	Lep.S	A	10	1046.978	1.61	1.958	0.253	4.862	10.23	0	2.585	10.087	3.883	53.559	9.152	0.11	50.622	302.016	20.119	4.075	20.41	NA
2A	Lep.S	A	20	1044.604	1.614	5.148	0.231	4.763	10.175	0	14.971	9.9	3.85	53.581	9.845	0.121	44.979	299.178	20.108	5.29	13.31	NA
2A	Lep.S	A	30	1052.228	1.21	15.796	0.209	4.598	9.812	0.055	26.972	9.713	3.828	51.832	9.735	0.099	45.023	298.364	19.58	7.72	7.23	25.01190608
3A	Lep.TS	A	0	881.756	1.432	11.11	0.561	4.631	10.417	0	7.986	9.944	3.905	53.856	7.579	0.11	47.146	261.635	19.58	0.916	9.59	44.41342268
3A	Lep.TS	A	10	1163.15	2.028	1.782	0.352	4.917	10.648	0	2.706	10.054	3.773	55.968	9.009	0.099	59.367	314.6	20.658	4.885	17.03	NA
3A	Lep.TS	A	20	1071.026	1.654	3.443	0.319	4.763	10.406	0	7.876	9.867	3.751	54.461	9.152	0.121	60.016	331.1	20.35	1.645	11.62	NA
3A	Lep.TS	A	30	1056.294	1.84	10.593	0.385	4.499	9.944	0	20.636	9.9	3.674	52.382	9.207	0.099	63.635	320.43	19.635	8.13	5.54	28.53945455
4A	Bir.HS	A	0	1038.17	1.602	4.774	0.165	3.036	6.039	0	2.398	10.01	3.069	55.319	85.129	0	11.088	277.684	16.28	3.67	126.35	440.7080198
4A	Bir.HS	A	2	NA	NA	19.448	0.242	3.146	5.137	0	8.239	9.977	2.882	51.194	47.696	0.022	16.269	297.616	15.015	NA	80.55	NA
4A	Bir.HS	A	6	1040.906	1.646	2.893	0.044	3.641	5.192	0	1.463	10.065	2.651	53.911	41.448	0	19.096	314.721	16.115	NA	143.404	NA
4A	Bir.HS	A	10	1041.63	1.7	2.134	0.231	3.564	4.774	0	1.111	10.087	2.486	50.644	35.035	0.011	19.899	323.983	15.147	5.695	64.47	NA
4A	Bir.HS	A	14	NA	NA	1.166	0.121	3.872	5.093	0	0.583	9.812	2.288	54.34	36.993	0	22.605	349.602	16.324	NA	120.559	NA
4A	Bir.HS	A	20	1049.572	1.294	6.358	0.11	3.861	4.994	0	3.575	10.032	2.277	52.965	39.204	0	23.562	378.048	16.17	0.835	206.78	979.9190008
4B	Bir.HS	B	0	1053.666	1.644	7.502	0.319	3.014	5.764	0	4.301	10.318	3.553	53.856	134.552	0.044	9.141	252.01	15.961	1.645	52.01	NA
4B	Bir.HS	B	2	NA	NA	19.591	0.748	3.267	5.093	0.011	8.723	10.032	3.333	54.373	64.691	0.121	15.928	278.784	15.719	NA	64.86	NA
