Sequencing.ID.Bac	Station	Core	Depth..cm.	replicate..for.graphs.	Section	totReads	totASVs
Bacteria.STA.01.02.1cm	STA01	STA01.02	1	B	GlacierFront	4627	788
Bacteria.STA.01.02.2cm	STA01	STA01.02	2	B	GlacierFront	190432	4705
Bacteria.STA.01.02.3cm	STA01	STA01.02	3	B	GlacierFront	18667	2123
Bacteria.STA.01.02.4cm	STA01	STA01.02	4	B	GlacierFront	26763	2662
Bacteria.STA.01.02.5cm	STA01	STA01.02	5	B	GlacierFront	226826	6355
Bacteria.STA.01.02.6cm	STA01	STA01.02	6	B	GlacierFront	15883	2321
Bacteria.STA.01.02.7cm	STA01	STA01.02	7	B	GlacierFront	8450	1458
Bacteria.STA.01.02.8cm	STA01	STA01.02	8	B	GlacierFront	39126	3231
Bacteria.STA.01.02.9cm	STA01	STA01.02	9	B	GlacierFront	25604	2806
Bacteria.STA.01.02.10cm	STA01	STA01.02	10	B	GlacierFront	31018	2868
Bacteria.STA.01.02.11.13cm	STA01	STA01.02	13	B	GlacierFront	23495	2736
Bacteria.STA.01.02.13.15cm	STA01	STA01.02	15	B	GlacierFront	12828	1887
Bacteria.STA.01.02.15.17cm	STA01	STA01.02	17	B	GlacierFront	26080	2914
Bacteria.STA.01.02.17.19cm	STA01	STA01.02	19	B	GlacierFront	45323	3900
Bacteria.STA.01.02.19.21cm	STA01	STA01.02	21	B	GlacierFront	22039	2842
Bacteria.STA.01.02.21.23cm	STA01	STA01.02	23	B	GlacierFront	47490	3669
Bacteria.STA.01.02.23.25cm	STA01	STA01.02	25	B	GlacierFront	12766	2259
